00,00,00,00,01,01,01,01,01,01,01,01,01,01,01
00,99,00,00,00,00,00,01,01,01,01,01,01,01,01
00,00,00,01,01,01,00,01,01,01,01,01,01,01,01
00,00,00,01,01,00,00,00,01,01,01,01,01,01,01
00,00,00,01,01,00,01,10,00,00,01,01,99,01,01
00,00,00,01,01,00,01,00,00,00,00,00,10,02,01
00,98,00,01,01,00,00,00,01,01,01,01,00,01,01
01,01,01,01,01,01,01,01,01,01,01,01,00,01,01
00,00,00,02,01,01,00,00,00,00,01,00,00,01,01
00,99,00,11,00,00,00,00,00,00,00,00,01,01,01
00,00,00,02,01,01,00,00,00,00,01,01,01,01,01
01,01,01,01,01,01,01,01,01,01,01,01,01,01,01
